"unique_extraction","paper_ID","item_number","item_question","not_applicable_met","penalise","reported_in_si","item_met"
"ft003_Michael","ft003",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft003_Michael","ft003",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft008_Julia","ft008",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft008_Julia","ft008",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft009_Rose","ft009",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft009_Rose","ft009",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft011_Julia","ft011",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft011_Julia","ft011",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft012_Michael","ft012",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft012_Michael","ft012",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft017_Rose","ft017",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft017_Rose","ft017",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft018_Rose","ft018",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft018_Rose","ft018",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft019_Rose","ft019",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft019_Rose","ft019",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft021_Shinichi","ft021",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft021_Shinichi","ft021",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft024_Julia","ft024",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft024_Julia","ft024",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft025_Dan","ft025",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft025_Dan","ft025",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft027_Rose","ft027",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft027_Rose","ft027",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft028_Tim","ft028",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft028_Tim","ft028",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft029_Losia","ft029",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft029_Losia","ft029",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft030_Dan","ft030",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft030_Dan","ft030",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft032_Shinichi","ft032",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft032_Shinichi","ft032",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft033_Shinichi","ft033",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft033_Shinichi","ft033",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft034_Rose","ft034",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft034_Rose","ft034",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft036_Losia","ft036",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft036_Losia","ft036",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft037_Julia","ft037",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft037_Julia","ft037",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft039_Shinichi","ft039",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft039_Shinichi","ft039",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft040_Dan","ft040",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","yes","yes"
"ft040_Dan","ft040",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft041_Dan","ft041",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft041_Dan","ft041",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft044_Dan","ft044",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft044_Dan","ft044",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft045_Losia","ft045",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft045_Losia","ft045",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft047_Michael","ft047",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","yes","yes"
"ft047_Michael","ft047",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"053_Julia","ft053",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"053_Julia","ft053",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft054_Michael","ft054",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft054_Michael","ft054",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft055_Tim","ft055",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft055_Tim","ft055",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft056_Losia","ft056",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft056_Losia","ft056",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft060_Rose","ft060",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft060_Rose","ft060",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft061_Rose","ft061",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft061_Rose","ft061",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft062_Dan","ft062",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft062_Dan","ft062",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft064_Michael","ft064",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft064_Michael","ft064",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft065_Tim","ft065",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft065_Tim","ft065",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft066_Julia","ft066",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft066_Julia","ft066",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft067_Rose","ft067",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft067_Rose","ft067",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft068_Tim","ft068",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft068_Tim","ft068",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft074_Shinichi","ft074",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft074_Shinichi","ft074",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft075_Shinichi","ft075",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft075_Shinichi","ft075",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft077_Dan","ft077",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft077_Dan","ft077",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft078_Julia","ft078",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft078_Julia","ft078",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft079_Tim","ft079",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft079_Tim","ft079",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft080_Dan","ft080",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft080_Dan","ft080",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft081_Michael","ft081",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft081_Michael","ft081",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft082_Tim","ft082",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft082_Tim","ft082",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft084_Shinichi","ft084",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft084_Shinichi","ft084",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft087_Rose","ft087",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft087_Rose","ft087",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft088_Losia","ft088",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft088_Losia","ft088",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft089_Tim","ft089",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft089_Tim","ft089",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft090_Dan","ft090",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","yes","yes"
"ft090_Dan","ft090",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","yes","yes"
"ft091_Shinichi","ft091",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft091_Shinichi","ft091",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft092_Dan","ft092",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft092_Dan","ft092",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft093_Rose","ft093",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft093_Rose","ft093",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft095_Shinichi","ft095",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft095_Shinichi","ft095",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft096_Michael","ft096",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft096_Michael","ft096",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft098_Rose","ft098",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft098_Rose","ft098",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft101_Losia","ft101",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft101_Losia","ft101",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft104_Michael","ft104",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft104_Michael","ft104",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft105_Michael","ft105",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft105_Michael","ft105",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft107_Rose","ft107",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft107_Rose","ft107",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft109_Losia","ft109",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft109_Losia","ft109",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft110_Tim","ft110",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft110_Tim","ft110",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft112_Tim","ft112",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft112_Tim","ft112",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft115_Dan","ft115",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft115_Dan","ft115",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft117_Losia","ft117",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft117_Losia","ft117",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft120_Julia","ft120",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft120_Julia","ft120",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft121_Losia","ft121",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft121_Losia","ft121",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft122_Tim","ft122",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft122_Tim","ft122",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft125_Losia","ft125",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft125_Losia","ft125",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft126_Rose","ft126",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft126_Rose","ft126",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft127_Shinichi","ft127",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft127_Shinichi","ft127",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft128_Shinichi","ft128",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft128_Shinichi","ft128",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft131_Michael","ft131",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft131_Michael","ft131",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft133_Julia","ft133",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft133_Julia","ft133",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft134_Michael","ft134",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft134_Michael","ft134",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft135_Michael","ft135",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft135_Michael","ft135",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft137_Tim","ft137",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft137_Tim","ft137",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft138_Rose","ft138",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft138_Rose","ft138",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft139_Losia","ft139",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft139_Losia","ft139",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft140_Julia","ft140",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft140_Julia","ft140",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft143_Julia","ft143",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft143_Julia","ft143",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft144_Julia","ft144",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft144_Julia","ft144",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft148_Tim","ft148",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft148_Tim","ft148",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft150_Michael","ft150",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft150_Michael","ft150",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft151_Dan","ft151",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft151_Dan","ft151",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft155_Julia","ft155",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft155_Julia","ft155",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft156_Tim","ft156",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft156_Tim","ft156",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft163_Julia","ft163",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft163_Julia","ft163",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft164_Shinichi","ft164",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft164_Shinichi","ft164",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft165_Michael","ft165",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft165_Michael","ft165",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft166_Rose","ft166",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft166_Rose","ft166",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft167_Losia","ft167",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft167_Losia","ft167",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft169_Losia","ft169",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","yes","no","no"
"ft169_Losia","ft169",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft173_Rose","ft173",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft173_Rose","ft173",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft174_Losia","ft174",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft174_Losia","ft174",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
"ft175_Dan","ft175",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft175_Dan","ft175",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","yes","yes"
"ft177_Rose","ft177",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft177_Rose","ft177",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft179_Tim","ft179",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft179_Tim","ft179",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","yes","yes"
"ft181_Dan","ft181",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft181_Dan","ft181",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","yes","not applicable","no","no"
"ft187_Shinichi","ft187",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft187_Shinichi","ft187",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","no","no","yes"
"ft188_Shinichi","ft188",16,"the methods describe assessments of the risk of bias due to missing results (e.g., publication, time-lag, and taxonomic biases)","no","no","no","yes"
"ft188_Shinichi","ft188",16,"the methods describe any steps taken to investigate the effects of such biases (if present)","no","yes","no","no"
